Date,DBK.DE,UBSG.VX,NDA-SEK.ST,3988.HK,C,0939.HK,1288.HK,8306.T,8316.T,RBS.L,MS,1398.HK,BARC.L,GS,ACA.PA,UCG.MI,BNP.PA,GLE.PA,HSBA.L,SAN.MC,STT,8411.T,RY.TO,INGA.AS,BK,JPM,WFC,BAC,STAN.L,CSGN.VX
2010-07-21,40.85997987122747,12.13550129521251,9.056572282631052,0.32432917808395406,37.651817,0.5446196596040291,0.27115883858850165,3.651165607052412,21.336369894215487,6.89992192916813,23.744774,0.48710521914759497,3.359911299806045,132.176971,8.573733242151715,81.58521696494239,44.645961987587256,35.68687113714662,6.4375912735380805,6.325949342589128,32.921721999999995,1.1217755483933756,36.074481021454005,6.965013354666391,21.598577,31.266154999999998,21.112005,12.422797000000001,19.788304402938348,30.04927755924398
2010-07-22,42.57526504048243,12.223841040736874,9.278338931465157,0.3262051427320603,39.085255,0.5476387726459189,0.2756307379318337,3.634645417092507,21.282721204846478,6.901236664556668,23.735922,0.49007004622535827,3.5534476077256802,131.781265,9.05615629963456,84.19484769049986,46.80729716816673,37.52817112382329,6.681369316515108,6.534455908368952,33.947272999999996,1.125096359406868,36.437724464182274,7.265492439405483,22.044613000000002,32.022991,22.189474,12.701754,20.83013760788007,29.438641154686167
2010-07-26,43.426713174064986,12.284927877816537,9.316258424195935,0.3269675550405562,39.65863,0.5534860306424616,0.29505046993691253,3.6948415961819805,21.518760646835187,7.274909776780147,23.921982,0.49676181279773396,3.729519968200524,133.26501499999998,9.290836223807112,84.59905036569364,48.175760292035285,39.76291229847877,6.687132903105126,6.731258687659951,34.503494,1.1380396821071403,36.7743634080371,7.5306221338841475,22.567854,32.820526,22.610735000000002,13.157378,21.122515837386207,29.98844442349392
2010-07-27,45.379443672127735,13.673241862225588,9.549806643462055,0.32855950970798786,39.754196,0.555185018282948,0.2959034608847917,3.801157693323502,22.20927804249378,7.8516069674240185,23.921982,0.49340706597311634,4.013478160525208,132.392792,10.233816211721601,89.35987735322013,50.825983188036744,43.97843027712456,6.864891293838788,6.863719159661683,33.895126,1.167985128939814,37.343397662565394,7.948941781756292,22.430614000000002,33.113487,22.999607,13.194573000000002,21.69041183900697,31.873997918243756
2010-07-28,46.208458882611424,13.948637630997018,9.64069395733119,0.327772026729499,39.085255,0.5577202672949901,0.3009799528757387,3.97249462954091,23.20313000476599,7.764004059201898,23.975237,0.4959390732228617,4.012847592581028,132.36578400000002,10.427458673362628,89.63806235614145,52.26477950408035,45.074680895584855,6.841983653906202,6.915689736346517,33.782139,1.2122558196215616,37.79830241545894,7.97187173048755,21.767853,32.812378,22.740374,13.008605000000001,21.372737041778553,32.73966060955677
2010-07-29,46.157031280560155,13.971157763259033,9.707987264327631,0.3262135434774211,39.371952,0.5560785980092968,0.30100320624251553,3.983661962432625,23.268357802675663,7.837723451986884,23.957481,0.4985041397870231,3.97284092370927,137.203613,10.217442269829059,89.37040929419895,50.62965720469926,44.620726793840376,6.802596677282211,6.782633356368899,33.91251,1.2156636692349914,38.10298775748154,8.052300731487879,21.742029000000002,32.722874,22.432517999999998,13.045795,21.38436211034937,32.465980015372786
2010-08-03,49.09729415187664,14.389232249374638,10.285238263424834,0.3320045616793165,39.467506,0.5699845366802829,0.29699753875494506,3.958687409170989,23.50864770935705,8.299846919249905,24.401305999999998,0.5047749442676185,4.142713547646383,137.75208999999998,10.598538630412358,91.69731266696643,53.65047213478985,45.95085169413072,7.073518832121445,7.0587153172692885,34.642555,1.2164508535375478,38.16963169206721,8.277198666913534,22.129353,33.430882000000004,22.78087,13.334048999999998,22.220709385763488,33.70145949586299
2010-08-04,48.76123106882985,14.261024302259353,10.066709589732094,0.3326632660947523,39.563065,0.5689141355591623,0.29349563335651907,3.962478946843142,23.340899559412527,8.279698053237983,24.738613,0.5062580827987737,4.093755725069527,140.647659,10.627809576441795,88.72173975973367,53.47436676798378,46.03027934578086,7.055875025824394,6.999278937880761,34.738171,1.2091210819540759,38.208874042051484,8.192768325899024,22.16379,33.601768,22.667251999999998,13.194573000000002,20.99895321414382,33.25355705335106
2010-08-05,48.99599420022408,14.417459847036328,10.046385357914527,0.3334812181171742,39.180824,0.5723294429844901,0.29098083165867983,4.011834003238848,23.57285778197197,8.263543471006086,24.711985000000002,0.5037700314319575,3.902697363611804,140.207047,10.758919132669874,87.20161075594805,53.66465695643576,45.62730376326368,7.024151620131263,7.032000263626177,34.720776,1.21569970757168,37.596865656963026,8.238105845910498,22.292896,33.585491,22.626675,13.036503,20.97493362149793,33.96925143403442
2010-08-09,49.290995687031995,14.490137378362906,10.057551511568992,0.3351044203094603,38.989697,0.5791401589816927,0.290168515440807,3.999586108958889,23.53781066144997,8.008716537562233,24.365803,0.5038284440665302,4.038928581653916,139.739441,11.024235969624005,88.47027227264309,54.79588548143836,46.94505199375546,7.048495538341633,6.986513375492817,34.407897999999996,1.1976838935812464,37.7747147030185,8.278128224803536,22.155176,32.405487,22.910725,12.934216000000001,21.506946810033565,33.74261686701011
2010-08-10,48.36216180581193,14.283160255798416,9.819176051915429,0.3294913376698654,38.225193,0.5663785663682618,0.2875713273652348,4.006114585214216,23.668296419068692,7.683158896289247,24.259291,0.49698576672892386,4.010457659372027,138.39064,10.732562892252519,87.8546648383524,53.68910263171774,45.483514846263375,7.01981438312718,6.891557671008913,34.025496999999994,1.2138272702222672,37.57962150621118,8.04981409208375,21.896959,31.876510999999997,22.537403,12.673855999999999,21.267507580082462,33.110148897585184
