Date,STT,0939.HK,BK,C,JPM,INGA.AS,GS,MS,3988.HK,BAC,1398.HK,BNP.PA,RBS.L,GLE.PA,CSGN.VX,1288.HK,STAN.L,DBK.DE,BARC.L,ACA.PA,8306.T,RY.TO,WFC,8316.T,UBSG.VX,8411.T,HSBA.L,SAN.MC,NDA-SEK.ST,UCG.MI,^GSPC,^HSI,^GSPTSE,^N225,^SSMI,^STOXX50E,^FTSE
2010-08-06,33.964657,4.495228,22.146573999999998,38.798561,32.91003,6.12145,139.54158,24.543329,2.601047,12.980707,3.910666,40.509098,511.0,34.840946,35.071743,2.252259,1331.607788,36.892159,246.040466,8.151168,345.143036,38.453503,22.52117,2025.581665,14.856569,104.347153,436.987579,5.195981,70.598785,65.916962,1121.640015,21678.800781,11800.0,9642.120117,6321.359863,2779.340088,5332.399902
2010-08-09,34.407897999999996,4.495228,22.155176,38.989697,32.405487,6.257106,139.739441,24.365803,2.601047,12.934216000000001,3.910666,41.418018,503.5,35.483887,35.369011,2.252259,1352.120239,37.257092,253.923401,8.332779,343.55246,38.794632,22.910725,2021.827393,15.188562,102.877457,443.131866,5.280826,71.460915,66.87114,1127.790039,21801.589844,11863.599609,9572.490234,6391.740234,2827.27002,5410.5
2010-08-10,34.025496999999994,4.39708,21.896959,38.225193,31.876510999999997,6.105301,138.39064,24.259291,2.558006,12.673855999999999,3.858349,40.719963,484.5,34.496517,34.689503,2.23256,1341.129028,36.679798,252.89946,8.140005,341.961945,38.722042,22.537403,2020.325806,14.964467,103.612297,442.669495,5.226833,70.359306,66.632492,1121.060059,21473.599609,11838.299805,9551.049805,6395.02002,2800.02002,5376.399902
2010-08-11,32.461104999999996,4.279298,21.320270999999998,36.791740000000004,30.737188,5.97772,134.209198,23.460403,2.502666,12.264722,3.760259,39.120251,460.0,33.049919,33.549988,2.180029,1291.66333,35.598248,238.475754,7.750838,333.214142,37.785751,21.344389000000003,1970.774658,14.258989,100.672935,434.410767,4.997501,68.012413,64.32666,1089.469971,21294.539063,11582.200195,9292.849609,6265.839844,2724.159912,5245.200195
2010-08-12,32.417637,4.25967,21.33749,36.98288,30.769745,5.833991,134.362045,23.185238000000002,2.471918,12.143842999999999,3.71448,38.960285,464.100006,32.64426,33.196049,2.180029,1289.439209,35.173607,235.396149,7.561775,328.442535,37.292194,21.10091,1941.494751,14.358582,99.20327,436.921448,4.981051,67.150276,63.770054,1083.609985,21105.710938,11523.599609,9212.589844,6279.350098,2720.850098,5266.100098
2010-08-13,32.400269,4.292384,21.346094,37.078423,30.517462,5.896973,133.15708899999998,22.989956,2.478067,12.301915,3.727558,38.734867,469.700012,33.195343,33.1819,2.225994,1267.641235,35.100655,241.061584,7.639616,330.033051,37.226875,20.971064000000002,1942.24585,14.449882,98.46843,431.37146,4.884894,67.53344,62.943115,1079.25,21071.570313,11528.299805,9253.459961,6294.339844,2708.72998,5275.399902
2010-08-16,32.25251,4.331646,21.260017,36.98288,30.672085,5.817841,132.86935400000002,22.812424,2.490366,12.264722,3.75372,38.233143,459.200012,32.835609,32.558994,2.206294,1267.278564,34.523365,242.050247,7.613673,330.828339,37.248653,20.841207999999998,1936.98999,14.441585,98.46843,432.428528,4.856611,66.527626,62.752274,1079.380005,21112.119141,11552.799805,9196.669922,6285.660156,2698.290039,5276.100098
2010-08-17,33.278061,4.312011,21.742029000000002,36.791740000000004,30.501194,5.965609,133.615677,23.25625,2.484217,12.283319,3.747181,39.062084,472.5,33.620144,33.472137,2.212861,1310.504028,35.206841,248.742264,7.847226,328.442535,37.350258,20.565281,1922.725708,14.682278,98.46843,441.149902,4.89826,68.156105,63.261173,1092.540039,21137.429688,11728.599609,9161.679688,6359.740234,2737.689941,5350.600098
2010-08-18,33.382351,4.312011,21.612925,36.887295,30.83485,5.934117,134.16423,23.309504,2.471918,12.385603999999999,3.71448,38.560352,469.399994,33.046093,33.217312,2.23256,1290.921875,34.868389,246.954956,7.824976,336.395172,37.538975,20.597738,1973.777588,14.499681,99.938095,434.595001,4.90289,68.203987,62.974918,1094.160034,21022.730469,11781.099609,9240.540039,6362.879883,2728.659912,5302.899902
2010-08-19,32.165615,4.298926,21.165344,36.218365000000006,30.167538,5.774238,132.23091100000002,23.069839,2.484217,12.106647,3.740636,37.593258,464.700012,31.905653,32.601513,2.245692,1266.166382,33.965984,242.886642,7.576603,341.166687,37.270424,19.826742000000003,1979.033569,14.474781,100.672935,423.07785,4.807764,66.67131,61.639069,1075.630005,21072.460938,11710.200195,9362.679688,6281.350098,2675.02002,5211.299805
